r_export,python_name,status,module,signature
audit_gazepoint_binocular_reconstruction,audit_gazepoint_binocular_reconstruction,native,pupil,"(data, observed_left=None, observed_right=None, reconstructed_left='left_pupil_reconstructed', reconstructed_right='right_pupil_reconstructed') -> 'pd.DataFrame'"
audit_gazepoint_condition_quality_imbalance,audit_gazepoint_condition_quality_imbalance,native,qc,"(data, condition_col=None, **kwargs) -> 'pd.DataFrame'"
audit_gazepoint_design_balance,audit_gazepoint_design_balance,native,qc,"(data, group_cols=('subject', 'condition')) -> 'pd.DataFrame'"
audit_gazepoint_dynamic_aoi_coverage,audit_gazepoint_dynamic_aoi_coverage,native,aoi,"(data, aoi_col='aoi_current') -> 'pd.DataFrame'"
audit_gazepoint_event_sync,audit_gazepoint_event_sync,native,face,"(gaze, events=None, **kwargs)"
audit_gazepoint_exclusion_flow,audit_gazepoint_exclusion_flow,native,qc,"(data, stages: 'list[str] | None' = None) -> 'pd.DataFrame'"
audit_gazepoint_face_quality,audit_gazepoint_face_quality,native,face,"(data, confidence_col=None, threshold: 'float' = 0.8) -> 'pd.DataFrame'"
audit_gazepoint_face_sync,audit_gazepoint_face_sync,native,face,"(gaze, face=None, **kwargs) -> 'pd.DataFrame'"
audit_gazepoint_fixation_reliability,audit_gazepoint_fixation_reliability,native,events,"(data, subject_col=None, duration_col='duration_ms') -> 'pd.DataFrame'"
audit_gazepoint_gaze_signal_quality,audit_gazepoint_gaze_signal_quality,native,qc,"(data, **kwargs) -> 'dict[str, pd.DataFrame]'"
audit_gazepoint_master,audit_gazepoint_master,native,qc,"(data) -> 'dict[str, pd.DataFrame]'"
audit_gazepoint_naming_consistency,audit_gazepoint_naming_consistency,native,qc,"(names=None) -> 'dict[str, Any]'"
audit_gazepoint_post_exclusion_balance,audit_gazepoint_post_exclusion_balance,native,qc,"(data, excluded_col: 'str' = 'excluded', group_cols=('condition',)) -> 'pd.DataFrame'"
audit_gazepoint_pupil_baseline,audit_gazepoint_pupil_baseline,native,pupil,"(data, pupil_col=None, time_col=None, baseline=(-200, 0), group_cols=None) -> 'pd.DataFrame'"
audit_gazepoint_pupil_drift,audit_gazepoint_pupil_drift,native,pupil,"(data, pupil_col=None, time_col=None, group_cols=None) -> 'pd.DataFrame'"
audit_gazepoint_pupil_gaps,audit_gazepoint_pupil_gaps,native,pupil,"(data, pupil_col=None, time_col=None, group_cols=None) -> 'pd.DataFrame'"
audit_gazepoint_pupil_imbalance,audit_gazepoint_pupil_imbalance,native,pupil,"(data, pupil_col=None, condition_col=None) -> 'pd.DataFrame'"
audit_gazepoint_pupil_overlap_risk,audit_gazepoint_pupil_overlap_risk,native,pupil,"(data, trial_duration_ms=3000, event_gap_ms=1000, trial_col=None, time_col=None) -> 'pd.DataFrame'"
audit_gazepoint_pupil_reliability,audit_gazepoint_pupil_reliability,native,pupil,"(data, pupil_col=None, subject_col=None, split_col=None) -> 'pd.DataFrame'"
audit_gazepoint_screen_bounds,audit_gazepoint_screen_bounds,native,qc,"(data, x_col=None, y_col=None, width: 'float' = 1.0, height: 'float' = 1.0, normalized: 'bool' = True) -> 'pd.DataFrame'"
audit_gazepoint_stimulus_luminance,audit_gazepoint_stimulus_luminance,native,pupil,"(data, luminance_col='luminance', pupil_col=None, group_cols=None) -> 'pd.DataFrame'"
audit_gazepoint_timecourse_grid,audit_gazepoint_timecourse_grid,native-adapted,stats,"(data, time_col='time_bin', subject_col='subject', condition_col='condition', **kwargs) -> 'pd.DataFrame'"
baseline_correct_gazepoint_pupil,baseline_correct_gazepoint_pupil,native,pupil,"(data, pupil_col=None, time_col=None, baseline=(-200.0, 0.0), group_cols=None, output_col=None, mode='subtract') -> 'pd.DataFrame'"
benchmark_gazepoint_event_detectors,benchmark_gazepoint_event_detectors,native,events,"(data, repeats: 'int' = 3, **kwargs) -> 'pd.DataFrame'"
benchmark_gazepoint_export_performance,benchmark_gazepoint_export_performance,native,reporting,"(data, repeats=3, **kwargs) -> 'pd.DataFrame'"
bootstrap_gazepoint_scanpath_clusters,bootstrap_gazepoint_scanpath_clusters,native,aoi,"(data, n_boot=100, random_state=123, **kwargs) -> 'pd.DataFrame'"
bootstrap_gazepoint_timecourse,bootstrap_gazepoint_timecourse,native-adapted,stats,"(data, value_col='value', time_col='time_bin', subject_col='subject', n_boot: 'int' = 500, random_state: 'int' = 123, **kwargs) -> 'pd.DataFrame'"
check_gazepoint_bayesian_readiness,check_gazepoint_bayesian_readiness,native-adapted,stats,"(data, **kwargs) -> 'pd.DataFrame'"
check_gazepoint_file_pairs,check_gazepoint_file_pairs,native,qc,(folder: 'str | Path') -> 'pd.DataFrame'
check_gazepoint_model_convergence,check_gazepoint_model_convergence,native-adapted,stats,(model) -> 'pd.DataFrame'
check_gazepoint_model_overdispersion,check_gazepoint_model_overdispersion,native-adapted,stats,(model) -> 'pd.DataFrame'
check_gazepoint_model_singularity,check_gazepoint_model_singularity,native-adapted,stats,"(model, tolerance: 'float' = 1e-08) -> 'pd.DataFrame'"
check_gazepoint_performance_regression,check_gazepoint_performance_regression,native,reporting,"(current, baseline, tolerance=0.2, metric='elapsed_seconds') -> 'pd.DataFrame'"
check_gazepoint_real_data_readiness,check_gazepoint_real_data_readiness,native,qc,"(data) -> 'dict[str, Any]'"
check_sampling_rate,check_sampling_rate,native,qc,"(data, time_col: 'str | None' = None, group_cols=None, expected_hz: 'float' = 60.0, tolerance_hz: 'float' = 5.0) -> 'pd.DataFrame'"
classify_gazepoint_events_hmm,classify_gazepoint_events_hmm,native-adapted,events,"(data, x_col=None, y_col=None, time_col=None, **kwargs) -> 'pd.DataFrame'"
classify_gazepoint_export,classify_gazepoint_export,native,io,(path: 'str | Path') -> 'str'
clean_gazepoint_by_trackloss,clean_gazepoint_by_trackloss,native,qc,"(data, validity_col: 'str | None' = None, drop: 'bool' = True) -> 'pd.DataFrame'"
cluster_gazepoint_scanpaths,cluster_gazepoint_scanpaths,native,aoi,"(data, aoi_col=None, group_cols=None, time_col=None, n_clusters=3) -> 'pd.DataFrame'"
collect_gazepoint_qc_summaries,collect_gazepoint_qc_summaries,native,qc,"(data) -> 'dict[str, Any]'"
combine_gazepoint_eyes,combine_gazepoint_eyes,native,pupil,"(data, left_col=None, right_col=None, output_col='pupil_combined', policy='available_eye') -> 'pd.DataFrame'"
compare_gazepoint_event_detectors,compare_gazepoint_event_detectors,native,events,"(data, **kwargs) -> 'pd.DataFrame'"
compare_gazepoint_nested_models,compare_gazepoint_nested_models,native-adapted,stats,"(models, labels=None) -> 'pd.DataFrame'"
compute_gazepoint_aoi_entropy,compute_gazepoint_aoi_entropy,native,aoi,"(data=None, sequence=None, aoi_col=None, group_cols=None, time_col=None, normalize=True) -> 'pd.DataFrame'"
compute_gazepoint_aoi_sequence_metrics,compute_gazepoint_aoi_sequence_metrics,native,aoi,"(data=None, sequence=None, **kwargs) -> 'pd.DataFrame'"
compute_gazepoint_aoi_transition_matrix,compute_gazepoint_aoi_transition_matrix,native,aoi,"(data=None, sequence=None, aoi_col=None, group_cols=None, time_col=None, normalize=False, include_self=True)"
compute_gazepoint_saccade_metrics,compute_gazepoint_saccade_metrics,native,events,"(data, x_col=None, y_col=None, time_col=None, event_col='event_state', group_cols=None) -> 'pd.DataFrame'"
compute_gazepoint_scanpath_geometry,compute_gazepoint_scanpath_geometry,native,aoi,"(data, x_col=None, y_col=None, time_col=None, group_cols=None) -> 'pd.DataFrame'"
compute_gazepoint_scanpath_similarity,compute_gazepoint_scanpath_similarity,native,aoi,"(path_a, path_b, method='sequence') -> 'float'"
compute_gazepoint_sequence_complexity,compute_gazepoint_sequence_complexity,native,aoi,"(data=None, sequence=None, aoi_col=None, group_cols=None, time_col=None, include_missing=False, missing_label='missing', collapse_repeats=False) -> 'pd.DataFrame'"
compute_gazepoint_sequence_distance,compute_gazepoint_sequence_distance,native,aoi,"(sequence_a, sequence_b, method='levenshtein', normalize=True) -> 'float'"
compute_gazepoint_sequence_recurrence,compute_gazepoint_sequence_recurrence,native,aoi,"(sequence, lag=1) -> 'dict[str, float]'"
compute_gazepoint_time_varying_transition_matrix,compute_gazepoint_time_varying_transition_matrix,native,aoi,"(data, aoi_col=None, time_col=None, bin_width=500, group_cols=None, normalize=False) -> 'pd.DataFrame'"
compute_gazepoint_transition_network_metrics,compute_gazepoint_transition_network_metrics,native,aoi,(matrix) -> 'pd.DataFrame'
compute_transition_matrix,compute_transition_matrix,native,aoi,"(sequence, normalize=False) -> 'pd.DataFrame'"
construct_gazepoint_combined_pupil,construct_gazepoint_combined_pupil,native,pupil,"(data, left_col=None, right_col=None, output_col='pupil_combined', policy='available_eye') -> 'pd.DataFrame'"
create_gazepoint_analysis_decision_audit,create_gazepoint_analysis_decision_audit,native,reporting,(**decisions) -> 'pd.DataFrame'
create_gazepoint_bayesian_sap,create_gazepoint_bayesian_sap,native-adapted,stats,"(**kwargs) -> 'dict[str, Any]'"
create_gazepoint_brms_template,create_gazepoint_brms_template,native-adapted,stats,"(formula=None, family='gaussian', priors=None, **kwargs) -> 'dict[str, Any]'"
create_gazepoint_cross_package_report,create_gazepoint_cross_package_report,native,reporting,"(result, output_file='cross_package_report.html', **kwargs)"
create_gazepoint_event_review_template,create_gazepoint_event_review_template,native,events,"(data, path: 'str | Path | None' = None, **kwargs) -> 'pd.DataFrame'"
create_gazepoint_face_reporting_checklist,create_gazepoint_face_reporting_checklist,native,face,(data=None) -> 'pd.DataFrame'
create_gazepoint_hddm_fit_script,create_gazepoint_hddm_fit_script,native-adapter,interop,"(path=None, model_name='HDDM', **kwargs) -> 'str'"
create_gazepoint_markovchain_object,create_gazepoint_markovchain_object,native,aoi,"(data=None, sequence=None, **kwargs)"
create_gazepoint_master,create_gazepoint_master,native,qc,"(data, **kwargs) -> 'pd.DataFrame'"
create_gazepoint_preprocessing_multiverse,create_gazepoint_preprocessing_multiverse,native,pupil,(**grids) -> 'pd.DataFrame'
create_gazepoint_preprocessing_registry,create_gazepoint_preprocessing_registry,native,pupil,"(blink_padding_pre_ms=100, blink_padding_post_ms=100, max_interpolation_gap_ms=150, smoothing_window_ms=50, baseline_start_ms=-200, baseline_end_ms=0, pupil_physiological_min=1, pupil_physiological_max=9, pupil_speed_mad_k=6, binocular_mad_k=6, baseline_missing_prop_threshold=0.3, baseline_interpolated_prop_threshold=0.3, baseline_artifact_prop_threshold=0.3, overlap_trial_duration_ms=3000, overlap_event_gap_ms=1000) -> 'pd.DataFrame'"
create_gazepoint_report,create_gazepoint_report,native,reporting,"(results, output_file='gazepoint_report.html', title='gp3tools analysis report', metadata=None, **kwargs) -> 'Path'"
create_gazepoint_reporting_checklist,create_gazepoint_reporting_checklist,native,reporting,(data=None) -> 'pd.DataFrame'
detect_gazepoint_blinks,detect_gazepoint_blinks,native,pupil,"(data, pupil_col=None, time_col=None, min_duration_ms: 'float' = 50.0, max_duration_ms: 'float' = 800.0, output_col='blink') -> 'pd.DataFrame'"
detect_gazepoint_fixations_ivt,detect_gazepoint_fixations_ivt,native,events,"(data, **kwargs) -> 'pd.DataFrame'"
detect_gazepoint_fixations_velocity,detect_gazepoint_fixations_velocity,native,events,"(data, x_col=None, y_col=None, time_col=None, velocity_threshold: 'float' = 0.08, min_duration_ms: 'float' = 100.0, group_cols=None) -> 'pd.DataFrame'"
diagnose_gazepoint_binocular_pupil,diagnose_gazepoint_binocular_pupil,native,pupil,"(data, left_col=None, right_col=None, group_cols=None) -> 'pd.DataFrame'"
diagnose_gazepoint_cluster_design,diagnose_gazepoint_cluster_design,native-adapted,stats,"(data, subject_col='subject', condition_col='condition', time_col='time_bin', **kwargs) -> 'pd.DataFrame'"
diagnose_gazepoint_gamm,diagnose_gazepoint_gamm,native-adapted,stats,"(model) -> 'dict[str, pd.DataFrame]'"
diagnose_gazepoint_glmm,diagnose_gazepoint_glmm,native-adapted,stats,"(model) -> 'dict[str, pd.DataFrame]'"
downsample_gazepoint_pupil,downsample_gazepoint_pupil,native,pupil,"(data, time_col=None, pupil_col=None, target_hz: 'float' = 30.0, group_cols=None) -> 'pd.DataFrame'"
estimate_gazepoint_cluster_offset,estimate_gazepoint_cluster_offset,native-adapted,stats,"(result, **kwargs)"
estimate_gazepoint_cluster_onset,estimate_gazepoint_cluster_onset,native-adapted,stats,"(result, **kwargs)"
estimate_gazepoint_divergence_point,estimate_gazepoint_divergence_point,native-adapted,stats,"(data, value_col='value', time_col='time_bin', condition_col='condition', min_run: 'int' = 3, **kwargs) -> 'pd.DataFrame'"
export_gazepoint_cluster_results,export_gazepoint_cluster_results,native,reporting,"(result, output_dir='cluster_results', prefix='cluster')"
export_gazepoint_heatmap_png,export_gazepoint_heatmap_png,native,plotting,"(data, path='gazepoint_heatmap.png', dpi=150, **kwargs)"
export_gazepoint_master_audit,export_gazepoint_master_audit,native,reporting,"(data, output_dir, prefix='master_audit', **kwargs)"
export_gazepoint_mne_cluster_input,export_gazepoint_mne_cluster_input,native-adapter,interop,"(data, path='mne_cluster_input.csv', **kwargs)"
export_gazepoint_model_tables,export_gazepoint_model_tables,native,reporting,"(models, output_dir, prefix='model', **kwargs)"
export_gazepoint_permuco_cluster_input,export_gazepoint_permuco_cluster_input,native-adapter,interop,"(data, path='permuco_cluster_input.csv', **kwargs)"
export_gazepoint_permutes_cluster_input,export_gazepoint_permutes_cluster_input,native-adapter,interop,"(data, path='permutes_cluster_input.csv', **kwargs)"
export_gazepoint_tables,export_gazepoint_tables,native,reporting,"(tables, output_dir, prefix='gazepoint', index=False, **kwargs) -> 'dict[str, str]'"
export_gazepoint_to_bids,export_gazepoint_to_bids,native-adapter,interop,"(data, output_dir, subject_col=None, task='gazepoint', **kwargs) -> 'dict'"
extract_gazepoint_representative_scanpaths,extract_gazepoint_representative_scanpaths,native,aoi,(clustered) -> 'pd.DataFrame'
filter_gazepoint_cnn_uncertainty,filter_gazepoint_cnn_uncertainty,native,misc,"(data, uncertainty_col='uncertainty', threshold=0.5, keep_flag=True, **kwargs)"
fit_gazepoint_aoi_brms,fit_gazepoint_aoi_brms,native-adapted,stats,"(data, formula=None, **kwargs)"
fit_gazepoint_aoi_gamm,fit_gazepoint_aoi_gamm,native-adapted,stats,"(data, **kwargs)"
fit_gazepoint_aoi_model_sensitivity,fit_gazepoint_aoi_model_sensitivity,native-adapted,stats,"(data, formulas=None, **kwargs) -> 'dict[str, Any]'"
fit_gazepoint_aoi_window_glmm,fit_gazepoint_aoi_window_glmm,native-adapted,stats,"(data, formula=None, **kwargs)"
fit_gazepoint_binocular_calibration,fit_gazepoint_binocular_calibration,native,pupil,"(data, left_col=None, right_col=None) -> 'dict[str, Any]'"
fit_gazepoint_brms_model,fit_gazepoint_brms_model,native-adapted,stats,"(data, formula=None, family='gaussian', **kwargs)"
fit_gazepoint_face_window_lmm,fit_gazepoint_face_window_lmm,native-adapted,stats,"(data, formula=None, subject_col=None, **kwargs)"
fit_gazepoint_gca,fit_gazepoint_gca,native-adapted,stats,"(data, formula=None, outcome_col=None, subject_col=None, order: 'int' = 2, **kwargs)"
fit_gazepoint_multimodal_response_model,fit_gazepoint_multimodal_response_model,native-adapted,stats,"(data, formula=None, subject_col=None, **kwargs)"
fit_gazepoint_pupil_gamm,fit_gazepoint_pupil_gamm,native-adapted,stats,"(data, **kwargs)"
fit_gazepoint_pupil_pfe_gamm,fit_gazepoint_pupil_pfe_gamm,native-adapted,stats,"(data, **kwargs)"
fit_gazepoint_pupil_window_lmm,fit_gazepoint_pupil_window_lmm,native-adapted,stats,"(data, formula=None, subject_col=None, **kwargs)"
fit_gazepoint_pupil_window_sensitivity,fit_gazepoint_pupil_window_sensitivity,native-adapted,stats,"(data, formulas=None, **kwargs)"
fit_gazepoint_transition_count_nb_sensitivity,fit_gazepoint_transition_count_nb_sensitivity,native-adapted,stats,"(data, formula=None, **kwargs)"
flag_gazepoint_pupil,flag_gazepoint_pupil,native,pupil,"(data, pupil_col=None, physiological_min: 'float' = 1.0, physiological_max: 'float' = 9.0, output_col='pupil_flag') -> 'pd.DataFrame'"
flag_gazepoint_pupil_artifacts,flag_gazepoint_pupil_artifacts,native,pupil,"(data, pupil_col=None, time_col=None, physiological_min=1.0, physiological_max=9.0, pupil_speed_mad_k: 'float' = 6.0, blink_padding_pre_ms: 'float' = 100.0, blink_padding_post_ms: 'float' = 100.0, output_col='pupil_artifact') -> 'pd.DataFrame'"
flag_gazepoint_pupil_hampel,flag_gazepoint_pupil_hampel,native,pupil,"(data, pupil_col=None, window: 'int' = 7, n_sigma: 'float' = 3.0, output_col='pupil_hampel_flag') -> 'pd.DataFrame'"
flag_gazepoint_sequence_anomalies,flag_gazepoint_sequence_anomalies,native,aoi,"(data=None, sequence=None, z_threshold=3.0, **kwargs) -> 'pd.DataFrame'"
flag_tracking_quality,flag_tracking_quality,native,qc,"(data, min_usable_prop: 'float' = 0.8, **kwargs) -> 'pd.DataFrame'"
gp3tools_naming_policy,gp3tools_naming_policy,native,qc,"() -> 'dict[str, Any]'"
gp3tools_performance_limits,gp3tools_performance_limits,native,reporting,() -> 'pd.DataFrame'
harmonize_gazepoint_screen_coordinates,harmonize_gazepoint_screen_coordinates,native,qc,"(data, x_col=None, y_col=None, width: 'float | None' = None, height: 'float | None' = None, output_x: 'str' = 'x_norm', output_y: 'str' = 'y_norm') -> 'pd.DataFrame'"
impute_gazepoint_pupil_gp,impute_gazepoint_pupil_gp,native,pupil,"(data, pupil_col=None, time_col=None, output_col=None, max_points: 'int' = 2000, random_state: 'int' = 123) -> 'pd.DataFrame'"
inspect_gazepoint_columns,inspect_gazepoint_columns,native,io,(data) -> 'pd.DataFrame'
interpolate_gazepoint_blinks,interpolate_gazepoint_blinks,native,pupil,"(data, pupil_col=None, blink_col='blink', **kwargs) -> 'pd.DataFrame'"
interpolate_gazepoint_pupil,interpolate_gazepoint_pupil,native,pupil,"(data, pupil_col=None, output_col=None, method='linear', max_gap_ms: 'float | None' = 150.0, time_col=None, group_cols=None) -> 'pd.DataFrame'"
interpolate_gazepoint_pupil_pchip,interpolate_gazepoint_pupil_pchip,native,pupil,"(data, **kwargs) -> 'pd.DataFrame'"
launch_gazepoint_qc_dashboard,launch_gazepoint_qc_dashboard,native-adapted,reporting,"(data=None, **kwargs)"
mean_gazepoint_pupil,mean_gazepoint_pupil,native,pupil,"(data, left_col=None, right_col=None, output_col='pupil_mean', require_both=False) -> 'pd.DataFrame'"
plot_gazepoint_aoi_gamm,plot_gazepoint_aoi_gamm,native,plotting,"(model_or_data, **kwargs)"
plot_gazepoint_aoi_timeline,plot_gazepoint_aoi_timeline,native,plotting,"(data, aoi_col=None, time_col=None, ax=None, **kwargs)"
plot_gazepoint_aoi_transition_matrix,plot_gazepoint_aoi_transition_matrix,native,plotting,"(data, ax=None, **kwargs)"
plot_gazepoint_aoi_verification,plot_gazepoint_aoi_verification,native,plotting,"(data, **kwargs)"
plot_gazepoint_binocular_diagnostics,plot_gazepoint_binocular_diagnostics,native,plotting,"(data, left_col=None, right_col=None, ax=None, **kwargs)"
plot_gazepoint_cluster_null_distribution,plot_gazepoint_cluster_null_distribution,native,plotting,"(result, ax=None, **kwargs)"
plot_gazepoint_cluster_permutation,plot_gazepoint_cluster_permutation,native,plotting,"(result, **kwargs)"
plot_gazepoint_cluster_results,plot_gazepoint_cluster_results,native,plotting,"(result, ax=None, **kwargs)"
plot_gazepoint_event_detector_agreement,plot_gazepoint_event_detector_agreement,native,plotting,"(data, ax=None, **kwargs)"
plot_gazepoint_event_detector_benchmark,plot_gazepoint_event_detector_benchmark,native,plotting,"(data, ax=None, **kwargs)"
plot_gazepoint_face_quality,plot_gazepoint_face_quality,native,plotting,"(data, **kwargs)"
plot_gazepoint_gca,plot_gazepoint_gca,native,plotting,"(model_or_data, **kwargs)"
plot_gazepoint_heatmap,plot_gazepoint_heatmap,native,plotting,"(data, x_col=None, y_col=None, bins=40, ax=None, **kwargs)"
plot_gazepoint_heatmap_overlay,plot_gazepoint_heatmap_overlay,native,plotting,"(data, **kwargs)"
plot_gazepoint_missingness_profile,plot_gazepoint_missingness_profile,native,plotting,"(data, ax=None, **kwargs)"
plot_gazepoint_model_predictions,plot_gazepoint_model_predictions,native,plotting,"(model, data=None, ax=None, **kwargs)"
plot_gazepoint_model_residuals,plot_gazepoint_model_residuals,native,plotting,"(model, ax=None, **kwargs)"
plot_gazepoint_multiverse_results,plot_gazepoint_multiverse_results,native,plotting,"(data, ax=None, **kwargs)"
plot_gazepoint_phase_timeline,plot_gazepoint_phase_timeline,native,plotting,"(data, **kwargs)"
plot_gazepoint_pupil_preprocessing,plot_gazepoint_pupil_preprocessing,native,plotting,"(data, **kwargs)"
plot_gazepoint_pupil_status,plot_gazepoint_pupil_status,native,plotting,"(data, status_col='pupil_flag', ax=None, **kwargs)"
plot_gazepoint_pupil_timecourse,plot_gazepoint_pupil_timecourse,native,plotting,"(data, **kwargs)"
plot_gazepoint_qc_overview,plot_gazepoint_qc_overview,native,plotting,"(data, **kwargs)"
plot_gazepoint_scanpath,plot_gazepoint_scanpath,native,plotting,"(data, x_col=None, y_col=None, ax=None, **kwargs)"
plot_gazepoint_scanpath_cluster_stability,plot_gazepoint_scanpath_cluster_stability,native,plotting,"(data, ax=None, **kwargs)"
plot_gazepoint_scanpath_clusters,plot_gazepoint_scanpath_clusters,native,plotting,"(data, cluster_col='cluster', **kwargs)"
plot_gazepoint_scanpaths,plot_gazepoint_scanpaths,native,plotting,"(data, group_col=None, ax=None, **kwargs)"
plot_gazepoint_stimulus_layout_qc,plot_gazepoint_stimulus_layout_qc,native,plotting,"(data, **kwargs)"
plot_gazepoint_time_series,plot_gazepoint_time_series,native,plotting,"(data, x_col=None, y_col=None, group_col=None, ax=None, **kwargs)"
plot_gazepoint_time_varying_effect,plot_gazepoint_time_varying_effect,native,plotting,"(data, **kwargs)"
plot_sampling_rate,plot_sampling_rate,native,plotting,"(data, ax=None, **kwargs)"
plot_tracking_quality,plot_tracking_quality,native,plotting,"(data, ax=None, **kwargs)"
plot_transition_heatmap,plot_transition_heatmap,native,plotting,"(data, **kwargs)"
prepare_gazepoint_aoi_gamm_data,prepare_gazepoint_aoi_gamm_data,native-adapted,stats,"(data, **kwargs)"
prepare_gazepoint_aoi_glmm_data,prepare_gazepoint_aoi_glmm_data,native-adapted,stats,"(data, aoi_col=None, target_aoi=None, **kwargs)"
prepare_gazepoint_aoi_sequences,prepare_gazepoint_aoi_sequences,native,aoi,"(data, aoi_col=None, group_cols=None, time_col=None, collapse_repeats=True, **kwargs) -> 'pd.DataFrame'"
prepare_gazepoint_cluster_data,prepare_gazepoint_cluster_data,native-adapted,stats,"(data, **kwargs)"
prepare_gazepoint_eyetools_data,prepare_gazepoint_eyetools_data,native-adapter,interop,"(data, **kwargs)"
prepare_gazepoint_eyetrackingr_data,prepare_gazepoint_eyetrackingr_data,native-adapter,interop,"(data, participant_col=None, trial_col=None, time_col=None, x_col=None, y_col=None, **kwargs)"
prepare_gazepoint_fixation_aligned_data,prepare_gazepoint_fixation_aligned_data,native-adapted,stats,"(data, fixation_time_col=None, sample_time_col=None, window=(-0.5, 1.5), **kwargs)"
prepare_gazepoint_gazer_data,prepare_gazepoint_gazer_data,native-adapter,interop,"(data, **kwargs)"
prepare_gazepoint_gca_data,prepare_gazepoint_gca_data,native-adapted,stats,"(data, time_col=None, outcome_col=None, group_cols=None, order: 'int' = 2, center_time: 'bool' = True, **kwargs)"
prepare_gazepoint_gpbiometrics_bridge,prepare_gazepoint_gpbiometrics_bridge,native-adapter,interop,"(data, participant_col=None, time_col=None, **kwargs)"
prepare_gazepoint_hddm_export,prepare_gazepoint_hddm_export,native-adapter,interop,"(data, response_col=None, rt_col=None, subject_col=None, condition_col=None, **kwargs)"
prepare_gazepoint_heatmap_data,prepare_gazepoint_heatmap_data,native,misc,"(data, x_col=None, y_col=None, bins=40, **kwargs) -> 'pd.DataFrame'"
prepare_gazepoint_hmm_data,prepare_gazepoint_hmm_data,native-adapted,stats,"(data, **kwargs)"
prepare_gazepoint_multimodal_data,prepare_gazepoint_multimodal_data,native,face,"(gaze, face=None, **kwargs)"
prepare_gazepoint_pupil_gamm_data,prepare_gazepoint_pupil_gamm_data,native-adapted,stats,"(data, pupil_col=None, time_col=None, **kwargs)"
prepare_gazepoint_pupil_window_model_data,prepare_gazepoint_pupil_window_model_data,native-adapted,stats,"(data, pupil_col=None, time_col=None, windows=None, group_cols=None, **kwargs)"
prepare_gazepoint_pupillometryr_data,prepare_gazepoint_pupillometryr_data,native-adapter,interop,"(data, participant_col=None, time_col=None, pupil_col=None, **kwargs)"
prepare_gazepoint_semimarkov_data,prepare_gazepoint_semimarkov_data,native,aoi,"(data, **kwargs)"
prepare_gazepoint_timecourse_test_data,prepare_gazepoint_timecourse_test_data,native-adapted,stats,"(data, time_col=None, value_col=None, subject_col=None, condition_col=None, **kwargs)"
prepare_gazepoint_traminer_data,prepare_gazepoint_traminer_data,native,aoi,"(data, **kwargs)"
preprocess_gazepoint_signals,preprocess_gazepoint_signals,native,pupil,"(data, pupil_col=None, physiological_min=1.0, physiological_max=9.0, interpolate=True, smooth=True, baseline=None, time_col=None) -> 'pd.DataFrame'"
read_gazepoint,read_gazepoint,native,io,"(path: 'str | Path', standardise_names: 'bool' = True, drop_empty_cols: 'bool' = True, **read_csv_kwargs) -> 'pd.DataFrame'"
read_gazepoint_face_export,read_gazepoint_face_export,native,io,"(path: 'str | Path', **kwargs) -> 'pd.DataFrame'"
read_gazepoint_folder,read_gazepoint_folder,native,io,"(folder: 'str | Path', pattern: 'str' = '\\.csv$', source_col: 'str' = 'USER_FILE', recursive: 'bool' = False, **read_kwargs) -> 'pd.DataFrame'"
read_gazepoint_summary,read_gazepoint_summary,native,io,"(path: 'str | Path') -> 'dict[str, Any]'"
